,num_cells
hel-1,2
eya-1,2
duxl-1,3
dmd-3,1
fkh-2,3
psa-3,1
cey-4,2
tbx-2,5
tbx-8,1
ceh-13,1
lect-2,3
attf-2,5
unc-98,5
ceh-34,2
ccar-1,3
B0238.11,2
T20F10.2,3
M03D4.4,3
zip-7,1
cey-1,5
hsf-1,2
ceh-20,1
hmg-1.1,5
hlh-16,1
Y66H1A.4,2
nurf-1,4
C16A3.4,1
lin-28,2
xbp-1,5
rnt-1,1
uaf-2,1
pat-9,2
cdc-14,1
sdz-38,1
irx-1,1
flh-3,1
ceh-99,1
hnd-1,5
ztf-18,1
vab-7,2
atf-2,4
hmg-4,2
lin-1,1
tbx-9,1
myrf-2,1
flh-1,2
F13C5.2,1
somi-1,1
lsy-2,1
repo-1,1
Y56A3A.18,2
Y82E9BR.17,3
hmg-11,2
hbl-1,5
tlp-1,1
ldb-1,1
pbrm-1,2
lin-40,1
plp-1,2
Y82E9BR.1,1
unc-62,3
sex-1,4
hlh-1,4
die-1,2
hmg-1.2,4
nob-1,1
syd-9,4
lin-39,2
ces-2,4
isw-1,1
efl-3,3
