,bwm_anterior,bwm_far_posterior,bwm_head_row_1,bwm_head_row_2,bwm_posterior
tbx-2/210_270,1394.1,133.4,,,8.1
tbx-2/270_330,550.9,196.3,21.2,1207.7,563.2
tbx-2/330_390,483.4,135.0,869.0,1122.7,281.1
tbx-2/390_450,819.7,1262.6,333.7,717.6,221.2
attf-2/210_270,606.5,1025.8,,,760.1
attf-2/270_330,613.1,713.8,665.4,559.6,698.0
attf-2/330_390,425.9,527.4,280.4,294.7,457.0
attf-2/390_450,151.9,168.4,123.6,75.5,181.8
unc-98/210_270,184.3,268.2,,,310.5
unc-98/270_330,319.8,539.3,216.7,290.8,609.3
unc-98/330_390,885.8,1245.8,918.1,871.2,1008.7
unc-98/390_450,1309.9,1602.0,1763.3,1313.2,1474.8
cey-1/210_270,1437.9,1164.9,,,1081.7
cey-1/270_330,1681.4,1739.5,1198.5,2301.6,1724.8
cey-1/330_390,2398.0,2522.8,2253.0,2942.7,2428.8
cey-1/390_450,3457.6,4175.8,2940.9,3178.4,3511.6
hmg-1.1/210_270,5576.9,5423.1,,,3708.0
hmg-1.1/270_330,4248.6,4692.2,3388.3,4099.4,4231.4
hmg-1.1/330_390,2352.5,3273.2,1388.7,1994.4,2824.2
hmg-1.1/390_450,923.4,1617.8,529.1,514.6,1211.8
xbp-1/210_270,604.0,784.8,,,636.1
xbp-1/270_330,916.3,1068.2,2102.8,1567.4,1151.3
xbp-1/330_390,754.5,1190.5,867.4,1060.0,985.9
xbp-1/390_450,815.6,944.7,754.6,897.5,932.4
hnd-1/210_270,437.4,1110.9,,,1359.9
hnd-1/270_330,90.3,351.2,1779.9,208.8,136.3
hnd-1/330_390,11.4,4.0,165.1,19.5,11.9
hnd-1/390_450,12.8,10.6,17.1,6.4,20.6
hbl-1/210_270,0.0,8.2,,,14.4
hbl-1/270_330,19.0,21.3,0.0,20.9,5.5
hbl-1/330_390,233.1,237.9,150.7,80.8,168.3
hbl-1/390_450,960.7,1213.4,777.9,763.4,1064.3
