,slope_e5,interecept,r,p,std_err,r^2
hnd-1,-2.256639624343058,0.13413703062925234,-0.6405021198964543,0.12119615400578067,0.00012100218170529132,0.41024296559185197
T20F10.2,0.9575448574657811,-0.010529918791295702,0.41808491717748997,0.35060638720345216,9.304446685599821e-05,0.17479499797130865
hsf-1,1.7260691537545565,-0.05483805054322491,0.8235113854567787,0.022798081945790392,5.3176061487173704e-05,0.6781710019769431
lin-39,-0.7265913738525906,0.08797897713420694,-0.29365303700575623,0.5226924210553392,0.0001057763765810894,0.08623210614270405
F26A10.2,1.580503059318936,-0.05860808138326981,0.8751340945349748,0.009882715448835578,3.908173497519977e-05,0.7658596834175503
ceh-99,-0.45715417015965615,0.030720020489281206,-0.5292023075583167,0.2219220634770315,3.277974640982863e-05,0.28005508232504717
syd-9,-0.4197997009642235,0.04302105968554433,-0.5055139878733139,0.2471235604695676,3.2043751001905965e-05,0.255544391935581
ceh-34,-6.6890871554337785,1.069059829498181,-0.38758201456208935,0.390306686282078,0.0007114944815381142,0.15021981801200765
ceh-33,17.658670859226007,-0.6968066980124902,0.776658925700758,0.03997901750388674,0.0006405145554457995,0.6031990868706556
nsy-7,1.2426198663220385,-0.045151127822276343,0.8072058269415415,0.02817042993123633,4.063682448280968e-05,0.6515812470483779
mdl-1,0.01686145375908276,0.012198821909465455,0.018269215488828445,0.9689903920713799,4.126839960557414e-05,0.00033376423457724913
ces-2,-1.8067846237776342,0.11336582348994605,-0.8804274591453454,0.008894679149366097,4.3518290392967416e-05,0.7751525108171288
cey-1,2.9965811682679857,-8.791712963604481e-05,0.49722537527831495,0.25623793503171527,0.00023383958106563965,0.24723307382066115
cey-4,0.698115770741924,-0.0208077400263313,0.39298547155807007,0.3831474639501825,7.305312324527814e-05,0.1544375808557187
pat-9,-0.1786692927354485,0.028910413051290322,-0.11214761555752586,0.810807294026459,7.079889380118348e-05,0.012577087675238617
Y56A3A.18,1.4781577492877311,-0.05282327642884764,0.8639735378312531,0.012164880135413126,3.8527152694586995e-05,0.7464502740726517
nurf-1,0.0802517431320816,0.04441520082296465,0.020972304769788532,0.9644041390341593,0.00017109124297174811,0.0004398375673568948
plp-1,2.265445632343649,-0.07172556957141038,0.7540859529546441,0.05019519303267455,8.823987719362947e-05,0.5686456244435137
nhr-3,1.3003723400075595,-0.05004657344334239,0.7498030962312631,0.05227818139204217,5.131815655246465e-05,0.5622046831179888
psa-3,-1.0541118459804846,0.0736195382537856,-0.5156826950503125,0.23615040981457947,7.832281236143275e-05,0.2659286419743536
lect-2,1.529167735248371,-0.0038782000004816547,0.5187226494209436,0.23291500840535964,0.00011271244202603797,0.26907318702228317
rnt-1,1.0085835624784998,-0.0142122948145691,0.6500077323656015,0.11400082078954457,5.273276882439508e-05,0.4225100521350714
ech-6,1.6833007403729503,-0.05763161295310605,0.9545645981068723,0.0008246812233124763,2.350139217412314e-05,0.9111935719589347
M03D4.4,-0.8557877668178618,0.0535410304319785,-0.8755522362701534,0.009802479732939766,2.1118211785814502e-05,0.7665917184376666
sdz-38,1.293240420132721,-0.041341841924585725,0.6381254332555155,0.12303061332360209,6.97815835524775e-05,0.4072040685675394
eya-1,-5.463910685305156,0.4316636518760782,-0.5521394505977858,0.19874196519089427,0.00036898319212689705,0.30485797290642475
fkh-2,-14.208655175171863,0.9323396760677348,-0.9522915531334099,0.0009305741668185866,0.000203642311135526,0.906859202169242
ctbp-1,1.0100544449610265,-0.030247549959597022,0.6414303664983277,0.1204835231952976,5.402667634567758e-05,0.4114329150661791
tbx-2,-1.1400829963748045,0.09698858762589488,-0.4794445709363477,0.2762971720005148,9.332454914144936e-05,0.22986709660033852
gop-3,1.3466726401479547,-0.04114661946397854,0.9045877039473094,0.0051274006949054785,2.8381086424763005e-05,0.818278914132665
nhr-156,2.595895496274869,-0.09506458161816608,0.8429594823611297,0.0172160234489358,7.408994206052185e-05,0.7105806889025438
somi-1,0.6433070022866477,-0.01501032698624244,0.5471377033139977,0.20369255449908438,4.401332722987388e-05,0.29935966638771616
ham-1,-0.8871118398012279,0.0609935199795336,-0.5853612767767983,0.1673621760755641,5.4950093589914634e-05,0.34264782434976343
tlp-1,-1.3104268895678919,0.10047204289945968,-0.7664971749631136,0.04441991866993456,4.9104328746530564e-05,0.587517919226434
hbl-1,-0.27915500708990487,0.03947604794875862,-0.1129966695968976,0.8093932074249718,0.00010977522450741259,0.012768247339990442
hlh-1,1.0927054908127212,-0.004867162226206458,0.3502960021323727,0.44112313947716175,0.00013066377550784064,0.12270728910992328
unc-62,-3.3959310635524327,0.2408017254211014,-0.7228761940461134,0.06643841414304186,0.0001451690027010707,0.5225499919185942
unc-98,3.9932877237415685,-0.1390083188641682,0.6999674029330596,0.07993684665416423,0.00018221003970140734,0.4899543651688522
vab-7,-0.8820213253662965,0.05232651776805093,-0.7514736471287193,0.05146019181271943,3.4631264957264524e-05,0.564712642328939
hlh-16,0.7120449726662601,-0.02364273256153871,0.6637850047698196,0.10397572051914358,3.587997464917081e-05,0.44061053255726945
xbp-1,1.006226720305719,0.0005189134225431907,0.3021679364826038,0.5101182222260184,0.00014196177593325874,0.0913054618381549
zyx-1,1.4034043582443847,-0.05246607974728345,0.8128273649002521,0.02624598332576068,4.4977871969786564e-05,0.6606883251306875
hmg-1.1,0.3277934679841205,0.12601557444360428,0.06797823014179007,0.8848630292583255,0.00021514916649485462,0.004621039773210175
hmg-1.2,-1.6372054644554905,0.1355748191219141,-0.45899610758031884,0.30020226567102254,0.00014172172905784576,0.21067742677388362
